time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z
31.49,0,1,0,9.107543115234375,0.7224503509153735,2.127248174926245,9.09317790576377,-0.13130699727621,1.284489190551245,10.46744966310645,0.5348047958435315,3.548206860841895
31.495,0,1,0,9.09317790576377,0.542286676000874,1.8986019162587402,9.150638745607521,0.0332943668325639,1.306037005247485,9.576806640625,0.44472295833724845,3.8690298828125
31.5,0,1,0,9.13148513232627,0.2097919205140955,1.7226280946050052,9.394847314453125,0.278325943029939,1.2144587918078,8.609549169921875,0.49051206515515755,4.09408483935752
31.505,0,1,0,9.270348828125,-0.240467629208233,1.5658078862325202,9.734823950685646,0.510264228790155,1.060032784850305,7.8146742187500005,0.6727706665529396,4.21618912328999
31.51,0,1,0,9.428366138185645,-0.5787982513059985,1.33476742516936,10.01733974609375,0.6841431243528735,0.9588777648680615,7.2927382573262705,0.9373299499756885,4.163516687256886
31.515,0,1,0,9.59117185107627,-0.7475894684205641,1.20188923388877,10.05564697265625,0.7841010437256886,0.9085995300538136,7.158662964357521,1.20607908587467,4.027047192873145
31.52,0,1,0,9.66778630420127,-0.7811082916627515,1.1755530153818852,9.950302104512701,0.78529814453125,0.909796630859375,7.35019909717002,1.41497318139751,3.8977603027343752
31.525,0,1,0,9.64863269092002,-0.6877344268676245,1.23660515734812,9.639055884279395,0.7589619263185645,0.9217676392091896,7.771578589357521,1.5322890625,3.840299462890625
31.53,0,1,0,9.548076220703125,-0.465672222875874,1.3168109135762702,9.279925634765625,0.733822808813374,0.9175777862426245,8.212111694826271,1.4867992307118651,3.8522704709462396
31.535,0,1,0,9.370905298341896,-0.1120785652375165,1.40419927404939,8.93994899951377,0.7799111907591235,0.8930372192873145,8.566453540529395,1.3275848209243901,3.8953661013193854
31.54,0,1,0,9.136273535156251,0.22430676798992,1.462857214600635,8.63827958984375,0.8547299927248145,0.8571241943359376,8.69095202685752,1.12707043133468,3.92649072265625
31.545,0,1,0,8.916006982421875,0.504877275116095,1.50834704638877,8.432378247560646,0.957082113610686,0.7643488799926245,8.585607153810646,0.9115922821167505,3.9073371093750002
31.55,0,1,0,8.75320126953125,0.699705435217439,1.49996734045564,8.336610181154395,1.044470474672205,0.6512228515625,8.283937744140625,0.70868369140625,3.8714240842274896
31.555,0,1,0,8.662221606935645,0.8613140472044359,1.43652099609375,8.26957253467002,1.05344873046875,0.5497685562562831,7.891288671875,0.5566518859618115,3.8139632443837397
31.56,0,1,0,8.662221606935645,0.964863269092002,1.35152683703562,8.250418921388771,1.0031704958506351,0.5066729263734705,7.513004810060646,0.421080216961593,3.778050220216895
31.565,0,1,0,8.724470849609375,1.06182843640188,1.2665326779774901,8.26957253467002,0.9026140259279396,0.46806642458506353,7.2161238042012705,0.360028074603092,3.73256038842876
31.57,0,1,0,8.810662109375,1.139041439390295,1.15520230139314,8.34618698779502,0.8044517578125,0.438138903857627,7.06768330078125,0.335487507647782,3.7277719846181148
31.575,0,1,0,8.916006982421875,1.158793603515625,1.0348936680315801,8.44674345703125,0.676960519421438,0.42377369389668945,7.0485296875,0.363320101891936,3.7181951779774898
31.58,0,1,0,9.04050546875,1.1438298432009402,0.9241618408203125,8.59997236328125,0.572214196826377,0.408809933483938,7.20175859375,0.434547601342876,3.69664736328125
31.585,0,1,0,9.107543115234375,1.10013566296438,0.8092401611328125,8.72925925342002,0.45100773768902946,0.3785831375305945,7.46512077685752,0.5129577057252516,3.67509954858501
31.59,0,1,0,9.121908325685645,1.036090768739075,0.7062894897951271,8.834604126466896,0.3585316985716235,0.351349093640188,7.829039429201271,0.5988496902649695,3.600879296875
31.595,0,1,0,9.107543115234375,0.98820673553595,0.571017095922749,8.930372192873145,0.2920926025390625,0.319027371203562,8.17859287109375,0.6464344482421875,3.495534423828125
31.6,0,1,0,9.050082275390626,0.913387933374126,0.4138976120301575,8.949525806154396,0.2346317626953125,0.294187529022345,8.504204296875,0.641646044921875,3.3710359375
31.605,0,1,0,8.97825622607627,0.8541314422730005,0.2723404388059985,8.93994899951377,0.2020107650327795,0.2356792258879205,8.71489404296875,0.6108206985167175,3.23696064453125
31.61,0,1,0,8.896853369140626,0.7709329345703125,0.1659481025665155,8.916006982421875,0.1831564269774365,0.1976712745513275,8.820238916015626,0.5982511398131555,3.1387983767100103
31.615,0,1,0,8.79150849609375,0.7015010864748146,0.09576806640625,8.8489693359375,0.1933317840698755,0.16564882734060848,8.80587370654502,0.536301171875,3.0693665288106446
31.62,0,1,0,8.700528833498145,0.6230909820924391,0.01943418378347285,8.801085302734375,0.2207154655732355,0.12861352043918,8.657433203125,0.4932055419921875,3.04542451171875
31.625,0,1,0,8.58081875,0.5386953735841895,-0.06464344482421876,8.738836060060645,0.2165256126066705,0.0738461574520733,8.418013037109375,0.48392801057746954,3.064578125
31.63,0,1,0,8.475473876953124,0.475548304742406,-0.11993453937820951,8.662221606935645,0.21562778702701602,0.02609305715783095,8.17380446826377,0.443825132757594,3.0813375368662603
31.635,0,1,0,8.4658970703125,0.35793314821787603,-0.1224035598448425,8.595183960451271,0.23642741395268801,-0.030731822874996602,7.939172705078125,0.437241078179906,3.1028853515625
31.64,0,1,0,8.494627490234375,0.27907413099663997,-0.17657237239974852,8.552088330078124,0.229244808923186,-0.08357260169584516,7.7620017827168954,0.427065721087467,3.1196447634287603
31.645,0,1,0,8.489839087404395,0.32770635226453254,-0.220565827960282,8.494627490234375,0.21547814941406251,-0.154276369442608,7.61834968310752,0.41090485996722054,3.1028853515625
31.65,0,1,0,8.489839087404395,0.39653965000628305,-0.28595746080023504,8.456320263671875,0.214580323834408,-0.1936310592957825,7.56567724609375,0.38995559542859504,3.07894333545127
31.655,0,1,0,8.528146313966895,0.4261678955078125,-0.31633389436653203,8.38449421435752,0.223857855249126,-0.225803144119455,7.584830859375,0.3660135788270325,3.04542451171875
31.66,0,1,0,8.556876733888771,0.41419688725606446,-0.3561374969605005,8.355763794435646,0.2144306862214545,-0.23897125317676451,7.647080103029396,0.32770635226453254,3.0047230837412604
31.665,0,1,0,8.61433757373252,0.402824429358064,-0.35045126796246695,8.336610181154395,0.236726689178595,-0.2081459068696735,7.752424976076271,0.312144041399967,2.9783868652343752
31.67,0,1,0,8.657433203125,0.376488211047312,-0.33907881016253305,8.360552197265624,0.2723404388059985,-0.1794154869477985,7.843404638671875,0.3082534637573755,2.9688100585937502
31.675,0,1,0,8.705317236328126,0.380678064013877,-0.370203431695531,8.42280144092002,0.302417597244455,-0.211288296545564,7.953537915529395,0.297928469051983,2.959233251953125
31.68,0,1,0,8.705317236328126,0.401627328454436,-0.382772990399093,8.480262280763771,0.322618673718313,-0.2075473564178595,8.068459595216895,0.304811798855578,2.9831752690450197
31.685,0,1,0,8.6957404296875,0.4040215301636255,-0.41689036409309455,8.552088330078124,0.3429693878051245,-0.235529588274967,8.14028564453125,0.3073556380796545,2.980781066649365
31.69,0,1,0,8.69095202685752,0.38486791688237554,-0.424671519476344,8.6191259765625,0.33129765468121697,-0.25333646313770203,8.207323291015625,0.2961328177946075,2.9951462771006354
31.695,0,1,0,8.719682446779396,0.3244143249756885,-0.39953240206922,8.657433203125,0.3244143249756885,-0.23148937301942202,8.21690009765625,0.3145382431091565,2.9855694704600104
31.7,0,1,0,8.76756647998252,0.2431611061433295,-0.3064578125,8.657433203125,0.299574482696405,-0.246752408560014,8.236053710937501,0.3172317199461865,2.980781066649365
31.705,0,1,0,8.743624462890626,0.259172329748689,-0.3016694091796875,8.628702783203124,0.282964708737298,-0.251989724719187,8.226476904296876,0.303465060437063,2.9688100585937502
31.71,0,1,0,8.647856396484375,0.3971382003600305,-0.40462008061543947,8.585607153810646,0.245106394915592,-0.24690204617296752,8.169016064453125,0.3079541885314685,2.9783868652343752
31.715,0,1,0,8.57603034717002,0.4578910674926245,-0.42407296902452996,8.528146313966895,0.21413141099554753,-0.255880302459845,8.092401611328125,0.318728095977655,2.9951462771006354
31.72,0,1,0,8.5425115234375,0.453401939398219,-0.3082534637573755,8.48505068359375,0.22565350650650148,-0.2501940734618115,7.991845142091895,0.3396773605162805,3.016694091796875
31.725,0,1,0,8.547299927248146,0.38516719210828254,-0.07493103008224294,8.456320263671875,0.235080675534173,-0.22355858002321902,7.886500269045021,0.3746925597899365,3.0526071169443854
31.73,0,1,0,8.508992700685646,0.38247371517318596,0.1002571945006555,8.441955054201271,0.3039139732759235,-0.16953940508126653,7.805097412109375,0.4073135574524695,3.064578125
31.735,0,1,0,8.470685474123146,0.46686932377950197,0.11215338399496,8.42280144092002,0.3785831375305945,-0.105644148272782,7.752424976076271,0.4429273071779395,3.112462158203125
31.74,0,1,0,8.456320263671875,0.660799658203125,0.123675479505914,8.451531860841895,0.4737526534850305,-0.0007370821028774491,7.738059765625,0.46716859890734247,3.145980981935645
31.745,0,1,0,8.52335791015625,0.680551821936189,0.4195838409301245,8.52335791015625,0.5737105728578455,0.06026654491501175,7.805097412109375,0.523432337945531,3.191470812743115
